Incident ID,Incident Date,State,City Or County,Complete_Address,School,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3000900,2024-08-19T00:00:00Z,Louisiana,Bossier City,"777 Bearkat Dr,Bossier City,Louisiana",Bossier High School,"32.5191893,-93.73020726843043",0,1,0,0,1
2999708,2024-08-19T00:00:00Z,Georgia,Savannah,"12419 Largo Dr,Savannah,Georgia",Windsor Forest High School,"31.976351899999997,-81.15278036207006",0,0,0,0,2
3001799,2024-08-19T00:00:00Z,Nevada,North Las Vegas,"150 W Deer Springs Way,North Las Vegas,Nevada",Legacy High School,"36.2846493,-115.14200979257262",0,0,0,0,1
3000986,2024-08-19T00:00:00Z,North Carolina,Winston Salem (Winston-salem),"3545 Carver School Rd,Winston Salem (Winston-salem),North Carolina",Carver High School,"36.1346223,-80.207959",0,0,0,0,1
2997394,2024-08-16T00:00:00Z,Texas,Victoria,"4103 E Mockingbird Ln,Victoria,Texas",Victoria East High School,"28.85049035,-96.9697641074759",0,0,0,0,2
3000827,2024-08-16T00:00:00Z,Georgia,Columbus,"Cusseta Road and 23rd Ave,Columbus,Georgia",N/A,"34.3384498,-78.5021302",0,0,0,0,0
3000587,2024-08-16T00:00:00Z,Louisiana,Hammond,"45168 River Rd,Hammond,Louisiana",Hammond High School,"30.5172511,-90.3797493",0,0,0,0,1
3012804,2024-08-16T00:00:00Z,California,Reseda,"8140 Vanalden Ave,Reseda,California",Cleveland High School,"34.217764149999994,-118.5475811133484",0,0,0,0,1
2997946,2024-08-16T00:00:00Z,California,Sylmar,"13050 Borden Ave,Sylmar,California",Sylmar High School,"34.30783625,-118.44040790472435",0,0,0,0,1
2996807,2024-08-15T00:00:00Z,South Carolina,Columbia,"361 Pisgah Church Rd,Columbia,South Carolina",Keenan High School,"34.10146760000001,-80.98551121557712",0,0,0,0,1
2994706,2024-08-13T00:00:00Z,Tennessee,Chattanooga,"2500 Market St,Chattanooga,Tennessee",Howard High School,"35.02583355,-85.31092126539431",0,0,0,0,1
2994011,2024-08-12T00:00:00Z,South Carolina,Blythewood,"180 S-40-1694,Blythewood,South Carolina",Westwood High School,"34.1686052,-80.98007763927238",0,0,0,0,1
2994039,2024-08-09T00:00:00Z,Georgia,Augusta,"2011 Lumpkin Rd,Augusta,Georgia",Butler High School,"33.4190275,-82.0167835",0,0,0,0,0
2991172,2024-08-08T00:00:00Z,Florida,Coconut Creek,"5050 Wiles Rd,Coconut Creek,Florida",Monarch High School,"26.2839387,-80.19182612683115",0,0,0,0,1
2990403,2024-08-08T00:00:00Z,California,Berkeley,"2601 Warring St,Berkeley,California",Clark Kerr,"37.8659757,-122.2460217",0,0,0,0,0
2985439,2024-08-01T00:00:00Z,New Mexico,Las Cruces,"5700 Mesa Grande Dr,Las Cruces,New Mexico",Organ Mountain High School,"32.382296049999994,-106.71461030106713",0,0,0,0,2
2982733,2024-07-30T00:00:00Z,Indiana,Fort Wayne,"E Campus Dr and Kettler Cir,Fort Wayne,Indiana",Purdue Fort Wayne - Indiana University Fort Wayne,"41.1254104,-85.09877835297048",0,0,1,0,0
2967674,2024-07-13T00:00:00Z,Texas,Austin,"E Martin Luther King Jr Blvd and Robert Dedman Dr,Austin,Texas",University of Texas - Austin,"30.2851494,-97.73393515146053",0,0,0,0,0
2966443,2024-07-11T00:00:00Z,Nevada,Las Vegas,"4505 S Maryland Pkwy,Las Vegas,Nevada",University of Nevada,"36.10782625,-115.14186110966509",0,0,0,0,1
2965629,2024-07-09T00:00:00Z,Texas,Greenville,"3515 Lions Lair Rd,Greenville,Texas",Greenville High School,"33.10476615,-96.12105083111405",0,0,0,0,1
2959428,2024-07-03T00:00:00Z,Florida,Fort Pierce,"4101 S 25th St,Fort Pierce,Florida",Fort Pierce Central High School,"27.39048715,-80.35237590326865",0,0,0,0,1
2952738,2024-06-26T00:00:00Z,Florida,Sanford,"2701 Ridgewood Ave,Sanford,Florida",Seminole High School,"28.778722950000002,-81.28360453889641",0,0,0,0,1
2985516,2024-06-21T00:00:00Z,Tennessee,Memphis,"550 Alabama Ave,Memphis,Tennessee",Tennessee College of Applied Technology,"35.1504113,-90.0390908",0,0,0,0,1
2939422,2024-06-13T00:00:00Z,California,Los Angeles,"111 S Grand Ave,Los Angeles,California",Walt Disney Concert Hall,"34.055429149999995,-118.24991255768234",0,0,0,0,0
2939834,2024-06-12T00:00:00Z,Washington,Kent,"12430 SE 208th St,Kent,Washington",Kentridge High School,"47.41775015,-122.17292912070039",0,0,0,0,1
2957473,2024-06-10T00:00:00Z,Washington,Federal Way,"35999 16th Ave S,Federal Way,Washington",Todd Beamer High School,"47.277068150000005,-122.31573241697788",0,0,0,0,1
2937051,2024-06-10T00:00:00Z,Maryland,Reisterstown,"12000 Reisterstown Rd,Reisterstown,Maryland",Franklin High School,"39.447326649999994,-76.81806847807906",0,0,0,0,0
2934849,2024-06-08T00:00:00Z,Minnesota,Minneapolis,"615 SE Washington Ave,Minneapolis,Minnesota",Graduate Hotels,"44.97419695,-93.22908931547715",0,1,0,0,0
2935759,2024-06-07T00:00:00Z,New York,Valley Stream,"585 Corona Ave,Valley Stream,New York",James A. Dever Elementary School,"40.68094615,-73.6881931953319",0,0,0,0,0
2937049,2024-06-07T00:00:00Z,California,Carson,"22328 Main St,Carson,California",Carson High School,"33.82233685,-118.27401798363206",0,0,0,0,0
2933178,2024-06-06T00:00:00Z,Washington,Seattle,"400 23rd Ave,Seattle,Washington",Quincy Jones Performance Center,"47.6060253,-122.30112860464385",1,0,0,0,0
2941424,2024-06-06T00:00:00Z,Maryland,Reisterstown,"12000 Reisterstown Rd,Reisterstown,Maryland",Franklin High School,"39.447326649999994,-76.81806847807906",0,0,0,0,1
2932830,2024-06-05T00:00:00Z,North Carolina,Fayetteville,"1960 Coliseum Dr,Fayetteville,North Carolina",Crown Complex,"35.0146565,-78.89186917517782",0,0,0,0,2
2933380,2024-06-05T00:00:00Z,Pennsylvania,Pittsburgh,"1611 Davis Ave,Pittsburgh,Pennsylvania",Morrow Elementary School,"40.4800487,-80.03975026019066",0,0,0,0,0
2932892,2024-06-04T00:00:00Z,California,Los Angeles,"2211 W Ave 30,Los Angeles,California",Glassell Park Elementary School,"34.104827549999996,-118.23584210469133",0,0,0,0,0
2930950,2024-06-03T00:00:00Z,California,American Canyon,"3000 Newell Dr,American Canyon,California",American Canyon High School,"38.1668511,-122.23780077746848",0,0,0,0,1
2926176,2024-05-30T00:00:00Z,Virginia,Hampton,"100 Ireland St,Hampton,Virginia",Phoebus High School,"37.03351165,-76.31585387629767",0,0,0,0,1
2923323,2024-05-28T00:00:00Z,Pennsylvania,Chester,"200 W 9th St,Chester,Pennsylvania",Chester High School,"39.85096385,-75.36748451732352",0,0,0,0,1
2923298,2024-05-28T00:00:00Z,Oregon,Portland,"6941 N Central St,Portland,Oregon",Roosevelt High School,"45.589904849999996,-122.73872383393393",0,0,0,0,0
2939402,2024-05-24T00:00:00Z,South Carolina,Goose Creek,"951 Crowfield Blvd,Goose Creek,South Carolina",Stratford High School,"33.0135937,-80.08446052702969",0,0,0,0,1
2926828,2024-05-24T00:00:00Z,Texas,Arlington,"7001 Silo Rd,Arlington,Texas",Juan Seguin High School,"32.6319668,-97.1000212709722",0,0,0,0,1
2919969,2024-05-23T00:00:00Z,New York,Brooklyn,"105 Tech Pl,Brooklyn,New York",George Westinghouse Career and Technical Education High School,"40.6956818,-73.9855947",0,0,0,0,1
2918499,2024-05-23T00:00:00Z,Louisiana,Harvey,"2200 8th St,Harvey,Louisiana",West Jefferson High School,"29.9024757,-90.07307844066989",0,1,0,0,1
2920137,2024-05-23T00:00:00Z,North Carolina,Salisbury,"2300 W Innes St,Salisbury,North Carolina",Catawba College,"35.69155045,-80.48600853247686",0,0,0,0,1
2919942,2024-05-23T00:00:00Z,North Carolina,Raleigh,"2411 Dunn Ave,Raleigh,North Carolina",North Carolina State University,"35.77184965,-78.67408695452633",0,0,0,0,1
