Incident ID,Incident Date,State,City Or County,Address,Complete_Address,School name,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2626402,2023-06-15T00:00:00Z,Tennessee,Sequatchie,246 Pine St,"246 Pine St,Sequatchie,Tennessee",,"35.11607373042446,-85.59937904702046",5,1,1,0,0
2625636,2023-06-15T00:00:00Z,South Carolina,Greenville,Channel Dr,"Channel Dr,Greenville,South Carolina",,"34.81198,-82.471728",0,4,0,0,0
2625182,2023-06-13T00:00:00Z,Ohio,Cincinnati,2300  Harrison Ave,"2300  Harrison Ave,Cincinnati,Ohio",,"39.137157,-84.577078",0,4,0,0,0
2623809,2023-06-13T00:00:00Z,Colorado,Denver,2000  Market St,"2000  Market St,Denver,Colorado",,"39.753683,-104.99323",0,9,0,1,2
2622044,2023-06-11T00:00:00Z,New York,Syracuse,100  Davis St,"100  Davis St,Syracuse,New York",,"43.039497,-76.1669306",0,4,0,0,3
2622062,2023-06-11T00:00:00Z,California,Antioch,3300  Sunset Ln,"3300  Sunset Ln,Antioch,California",,"37.987022,-121.804553",1,6,0,0,0
2668127,2023-06-11T00:00:00Z,Louisiana,Labadieville,3006 LA-1,"3006 LA-1,Labadieville,Louisiana",,"29.85342429581896,-90.97111132152511",0,7,0,0,1
2622008,2023-06-11T00:00:00Z,Texas,Houston,6003 Richmond Ave,"6003 Richmond Ave,Houston,Texas",,"29.7310472,-95.48459230724477",0,6,0,0,1
2622547,2023-06-11T00:00:00Z,Maryland,Annapolis,1004 Paddington Pl,"1004 Paddington Pl,Annapolis,Maryland",,"38.95605595000001,-76.48127530655066",3,3,0,0,1
2622140,2023-06-11T00:00:00Z,Illinois,Champaign,1000  N 6th St,"1000  N 6th St,Champaign,Illinois",,"40.125279,-88.230372",0,4,0,0,0
2621754,2023-06-10T00:00:00Z,Mississippi,Hattiesburg,6100  US-49,"6100  US-49,Hattiesburg,Mississippi",,"31.351031932996406,-89.34000896277153",0,4,0,0,0
2621640,2023-06-10T00:00:00Z,Illinois,Oak Park,900  Madison St,"900  Madison St,Oak Park,Illinois",,"41.879624762924614,-87.79776346159845",0,4,0,0,0
2621359,2023-06-09T00:00:00Z,Pennsylvania,Jeannette,815 Lowry Ave,"815 Lowry Ave,Jeannette,Pennsylvania",,"40.31865844688167,-79.61726537495846",1,4,0,0,0
2620695,2023-06-08T00:00:00Z,South Carolina,North Charleston,4106 Dorchester Rd,"4106 Dorchester Rd,North Charleston,South Carolina",,"32.85377093194141,-80.00006532483613",1,3,0,0,0
2619908,2023-06-07T00:00:00Z,California,Sacramento,1600  Grand Ave,"1600  Grand Ave,Sacramento,California",,"38.636389,-121.42902",0,7,0,0,0
